"id_log";"usuario";"data"
"152";"3";"2018-08-24 14:08:00"
"153";"3";"2018-08-24 14:08:00"
"154";"3";"2018-08-24 14:08:00"
"155";"3";"2018-08-24 14:08:00"
"156";"3";"2018-08-24 14:08:00"
"157";"3";"2018-08-24 14:08:00"
"158";"3";"2018-08-24 14:08:00"
"159";"3";"2018-08-24 14:08:00"
"160";"3";"2018-08-24 14:08:00"
"161";"3";"2018-08-24 14:08:00"
"162";"3";"2018-08-24 14:08:00"
"163";"3";"2018-08-24 14:08:00"
"164";"3";"2018-08-24 14:08:00"
"165";"3";"2018-08-24 14:08:00"
"166";"3";"2018-08-24 14:08:00"
"167";"3";"2018-08-24 14:08:00"
"168";"3";"2018-08-24 14:08:00"
"169";"3";"2018-08-24 14:08:00"
"170";"3";"2018-08-24 14:08:00"
"171";"3";"2018-08-24 14:08:00"
"172";"3";"2018-08-24 14:08:00"
"173";"3";"2018-08-24 14:08:00"
"174";"3";"2018-08-24 14:08:00"
"175";"3";"2018-08-24 14:08:00"
"176";"3";"2018-08-24 14:08:00"
"177";"3";"2018-08-24 14:08:00"
"178";"3";"2018-08-24 14:08:00"
"179";"3";"2018-08-24 14:08:00"
"180";"3";"2018-08-24 14:08:00"
"181";"3";"2018-08-24 14:08:00"
"182";"3";"2018-08-24 14:08:00"
"183";"3";"2018-08-24 14:08:00"
"184";"3";"2018-08-24 14:08:00"
"185";"3";"2018-08-24 14:08:00"
"186";"3";"2018-08-24 14:08:00"
"187";"3";"2018-08-24 14:08:00"
"188";"3";"2018-08-24 14:08:00"
"189";"4";"2018-08-24 14:08:00"
"190";"3";"2018-08-24 15:08:00"
"191";"3";"2018-08-24 15:08:00"
"192";"3";"2018-08-24 15:08:00"
"193";"3";"2018-08-24 15:08:00"
"194";"3";"2018-08-24 15:08:00"
"195";"3";"2018-08-24 15:08:00"
"196";"3";"2018-08-24 15:08:00"
"197";"3";"2018-08-24 15:08:00"
"198";"3";"2018-08-24 15:08:00"
"199";"3";"2018-08-24 15:08:00"
"200";"3";"2018-08-24 15:08:00"
"201";"3";"2018-08-24 15:08:00"
"202";"3";"2018-08-24 15:08:00"
"203";"3";"2018-08-24 15:08:00"
"204";"3";"2018-08-24 15:08:00"
"205";"3";"2018-08-24 15:08:00"
"206";"3";"2018-08-24 15:08:00"
"207";"3";"2018-08-24 15:08:00"
"208";"3";"2018-08-24 15:08:00"
"209";"3";"2018-08-24 15:08:00"
"210";"3";"2018-08-24 15:08:00"
"211";"3";"2018-08-24 15:08:00"
"212";"3";"2018-08-24 15:08:00"
"213";"3";"2018-08-24 15:08:00"
"214";"3";"2018-08-24 15:08:00"
"215";"3";"2018-08-24 15:08:00"
"216";"3";"2018-08-24 15:08:00"
"217";"3";"2018-08-24 15:08:00"
"218";"3";"2018-08-24 15:08:00"
"219";"3";"2018-08-24 15:08:00"
"220";"3";"2018-08-24 15:08:00"
"221";"3";"2018-08-24 15:08:00"
"222";"3";"2018-08-24 15:08:00"
"223";"3";"2018-08-24 15:08:00"
"224";"3";"2018-08-24 15:08:00"
"225";"3";"2018-08-24 15:08:00"
"226";"3";"2018-08-24 15:08:00"
"227";"3";"2018-08-24 15:08:00"
"228";"3";"2018-08-24 15:08:00"
"229";"3";"2018-08-24 15:08:00"
"230";"3";"2018-08-24 15:08:00"
"231";"3";"2018-08-24 15:08:00"
"232";"3";"2018-08-24 15:08:00"
"233";"3";"2018-08-24 15:08:00"
"234";"3";"2018-08-24 15:08:00"
"235";"3";"2018-08-24 15:08:00"
"236";"3";"2018-08-24 15:08:00"
"237";"3";"2018-08-24 15:08:00"
"238";"3";"2018-08-24 15:08:00"
"239";"3";"2018-08-24 16:08:00"
"240";"3";"2018-08-24 16:08:00"
"241";"3";"2018-08-24 16:08:00"
"242";"3";"2018-08-24 16:08:00"
"243";"3";"2018-08-24 16:08:00"
"244";"3";"2018-08-24 16:08:00"
"245";"3";"2018-08-24 16:08:00"
"246";"3";"2018-08-24 16:08:00"
"247";"3";"2018-08-24 16:08:00"
"248";"3";"2018-08-24 16:08:00"
"249";"3";"2018-08-24 16:08:00"
"250";"3";"2018-08-24 16:08:00"
"251";"3";"2018-08-24 16:08:00"
"252";"3";"2018-08-24 16:08:00"
"253";"3";"2018-08-24 16:08:00"
"254";"3";"2018-08-24 16:08:00"
"255";"3";"2018-08-24 16:08:00"
"256";"3";"2018-08-24 16:08:00"
"257";"3";"2018-08-24 16:08:00"
"258";"3";"2018-08-24 16:08:00"
"259";"3";"2018-08-24 16:08:00"
"260";"3";"2018-08-24 16:08:00"
"261";"3";"2018-08-24 16:08:00"
"262";"3";"2018-08-24 16:08:00"
"263";"3";"2018-08-24 16:08:00"
"264";"3";"2018-08-24 16:08:00"
"265";"3";"2018-08-24 16:08:00"
"266";"3";"2018-08-24 16:08:00"
"267";"3";"2018-08-24 16:08:00"
"268";"3";"2018-08-24 16:08:00"
"269";"3";"2018-08-24 16:08:00"
"270";"3";"2018-08-24 16:08:00"
"271";"3";"2018-08-24 16:08:00"
"272";"3";"2018-08-24 16:08:00"
"273";"3";"2018-08-24 16:08:00"
"274";"3";"2018-08-24 16:08:00"
"275";"3";"2018-08-24 16:08:00"
"276";"3";"2018-08-24 16:08:00"
"277";"3";"2018-08-24 16:08:00"
"278";"3";"2018-08-24 16:08:00"
"279";"3";"2018-08-24 16:08:00"
"280";"3";"2018-08-24 16:08:00"
"281";"3";"2018-08-24 16:08:00"
"282";"3";"2018-08-24 16:08:00"
"283";"3";"2018-08-24 16:08:00"
"284";"3";"2018-08-24 16:08:00"
"285";"3";"2018-08-24 16:08:00"
"286";"3";"2018-08-24 16:08:00"
"287";"3";"2018-08-24 16:08:00"
"288";"3";"2018-08-24 16:08:00"
"289";"3";"2018-08-24 16:08:00"
"290";"3";"2018-08-24 16:08:00"
"291";"3";"2018-08-24 16:08:00"
"292";"3";"2018-08-24 16:08:00"
"293";"3";"2018-08-24 16:08:00"
"294";"3";"2018-08-24 16:08:00"
"295";"3";"2018-08-24 16:08:00"
"296";"3";"2018-08-24 16:08:00"
"297";"3";"2018-08-24 16:08:00"
"298";"3";"2018-08-24 16:08:00"
"299";"3";"2018-08-24 16:08:00"
"300";"3";"2018-08-24 16:08:00"
"301";"3";"2018-08-24 16:08:00"
"302";"3";"2018-08-24 16:08:00"
"303";"3";"2018-08-24 16:08:00"
"304";"3";"2018-08-24 16:08:00"
"305";"3";"2018-08-24 16:08:00"
"306";"3";"2018-08-24 16:08:00"
"307";"3";"2018-08-24 16:08:00"
"308";"3";"2018-08-24 16:08:00"
"309";"3";"2018-08-24 16:08:00"
"310";"3";"2018-08-24 16:08:00"
"311";"3";"2018-08-24 16:08:00"
"312";"3";"2018-08-24 16:08:00"
"313";"3";"2018-08-24 16:08:00"
"314";"3";"2018-08-24 16:08:00"
"315";"3";"2018-08-24 16:08:00"
"316";"3";"2018-08-24 16:08:00"
"317";"3";"2018-08-24 16:08:00"
"318";"3";"2018-08-24 16:08:00"
"319";"3";"2018-08-24 16:08:00"
"320";"3";"2018-08-24 16:08:00"
"321";"3";"2018-08-24 16:08:00"
"322";"3";"2018-08-24 16:08:00"
"323";"3";"2018-08-24 16:08:00"
"324";"3";"2018-08-24 16:08:00"
"325";"3";"2018-08-24 16:08:00"
"326";"3";"2018-08-24 16:08:00"
"327";"3";"2018-08-24 16:08:00"
"328";"3";"2018-08-24 16:08:00"
"329";"3";"2018-08-24 16:08:00"
"330";"3";"2018-08-24 16:08:00"
"331";"3";"2018-08-24 16:08:00"
"332";"3";"2018-08-24 16:08:00"
"333";"3";"2018-08-24 16:08:00"
"334";"3";"2018-08-24 16:08:00"
"335";"3";"2018-08-24 16:08:00"
"336";"3";"2018-08-24 16:08:00"
"337";"3";"2018-08-24 16:08:00"
"338";"3";"2018-08-24 17:08:00"
"339";"4";"2018-08-24 18:08:00"
"340";"4";"2018-08-25 09:08:00"
"341";"4";"2018-08-25 10:08:00"
"342";"4";"2018-08-25 10:08:00"
"343";"4";"2018-08-25 10:08:00"
"344";"4";"2018-08-25 10:08:00"
"345";"4";"2018-08-25 14:08:00"
"346";"4";"2018-08-25 14:08:00"
"347";"4";"2018-08-25 14:08:00"
"348";"4";"2018-08-25 14:08:00"
"349";"4";"2018-08-25 14:08:00"
"350";"4";"2018-08-25 14:08:00"
"351";"4";"2018-08-25 16:08:00"
"352";"4";"2018-08-25 16:08:00"
"353";"4";"2018-08-25 16:08:00"
"354";"4";"2018-08-25 16:08:00"
"355";"4";"2018-08-25 16:08:00"
"356";"4";"2018-08-25 17:08:00"
"357";"4";"2018-08-25 17:08:00"
"358";"4";"2018-08-25 17:08:00"
"359";"4";"2018-08-25 17:08:00"
