"id_caixa";"tipo_caixa";"titulo";"valor";"id_colaborador";"idcliente";"data_caixa"
"79";"CRD";"FF40A96";"99.8";"3";"0";"2018-06-28 00:00:00"
"80";"CRD";"F86BAAA";"409.5";"3";"0";"2018-06-28 00:00:00"
"81";"DEB";"F9DCCDE";"394.5";"3";"0";"2018-06-28 00:00:00"
"82";"CRD";"869D4C6";"69.9";"3";"0";"2018-06-28 00:00:00"
"83";"CRD";"7E3B647";"149.7";"3";"0";"2018-06-28 00:00:00"
"84";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-06-29 00:00:00"
"85";"CRD";"A1A1EC3";"139.8";"3";"0";"2018-06-29 00:00:00"
"86";"CRD";"96B9FEA";"99.8";"3";"0";"2018-06-29 00:00:00"
"87";"DEB";"D31CE45";"193.9";"4";"0";"2018-06-29 00:00:00"
"88";"DIN";"5977041";"79.9";"4";"0";"2018-06-29 00:00:00"
"89";"CRD";"4077B10";"154.8";"4";"0";"2018-06-29 00:00:00"
"90";"CRD";"0062DDF";"189.8";"4";"0";"2018-06-29 00:00:00"
"91";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-30 00:00:00"
"92";"CRD";"7CCEFB8";"153.9";"4";"0";"2018-06-30 00:00:00"
"93";"CRD";"D95AC79";"29.9";"4";"0";"2018-06-30 00:00:00"
"94";"DEB";"A08588A";"129.8";"4";"0";"2018-06-30 00:00:00"
"95";"CRD";"D7C3206";"39.9";"4";"0";"2018-06-30 00:00:00"
"96";"DIN";"2187AF0";"569.40";"4";"0";"2018-06-30 00:00:00"
"97";"CRE";"2187AF0";"0";"4";"0";"2018-06-30 00:00:00"
"98";"CRD";"816567F";"330.6";"4";"0";"2018-06-30 00:00:00"
"99";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-07-02 00:00:00"
"100";"CRD";"D233688";"234.7";"3";"0";"2018-07-02 00:00:00"
"101";"CRD";"67230C5";"164.7";"3";"0";"2018-07-02 00:00:00"
"102";"DEB";"920EA37";"119.9";"3";"0";"2018-07-02 00:00:00"
"103";"CRD";"C65BA11";"873.3";"3";"0";"2018-07-02 00:00:00"
"104";"CRD";"94D7188";"139.8";"3";"0";"2018-07-02 00:00:00"
"105";"CRD";"4A5B57A";"1370.5";"3";"0";"2018-07-02 00:00:00"
"106";"DIN";"1B2AE10";"54.8";"3";"0";"2018-07-02 00:00:00"
"107";"ABERTURA CAIXA";;"2.25";"3";"0";"2018-07-03 00:00:00"
"108";"CRD";"3FE0845";"249.7";"3";"0";"2018-07-03 00:00:00"
"109";"CRD";"B787730";"129.8";"3";"0";"2018-07-03 00:00:00"
"110";"CRD";"26C2811";"32.9";"3";"0";"2018-07-03 00:00:00"
"111";"CRD";"7B88E12";"214.8";"3";"0";"2018-07-03 00:00:00"
"112";"DEB";"B42954A";"94.9";"3";"0";"2018-07-03 00:00:00"
"113";"ABERTURA CAIXA";;"2.00";"4";"0";"2018-07-04 00:00:00"
"114";"DEB";"495F84F";"508.5";"4";"0";"2018-07-04 00:00:00"
"115";"CRD";"832EECF";"275.6";"4";"0";"2018-07-04 00:00:00"
"116";"CRD";"E43CFAE";"79.8";"4";"0";"2018-07-04 00:00:00"
"117";"CRD";"9D56251";"409.6";"4";"0";"2018-07-04 00:00:00"
"118";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-07-05 00:00:00"
"119";"CRD";"5CF0E6B";"289.7";"3";"0";"2018-07-05 00:00:00"
"120";"CRD";"AAE9D4E";"39.9";"3";"0";"2018-07-05 00:00:00"
"121";"EXTORNO";"9D56251";"409.6";"3";"0";"2018-07-05 00:00:00"
"122";"CRD";"6493FA9";"159.8";"3";"0";"2018-07-05 00:00:00"
"123";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-07-06 00:00:00"
"124";"CRD";"AE60A56";"199.7";"3";"0";"2018-07-06 00:00:00"
"125";"CRD";"BE782A8";"192.6";"4";"0";"2018-07-06 00:00:00"
"126";"CRD";"477D9BE";"199.8";"4";"0";"2018-07-06 00:00:00"
"127";"CRD";"4BB30F3";"69.9";"4";"0";"2018-07-06 00:00:00"
"128";"CRD";"11C2062";"94.9";"4";"0";"2018-07-06 00:00:00"
"129";"CRD";"736114A";"39.9";"4";"0";"2018-07-06 00:00:00"
"130";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-07-07 00:00:00"
"131";"CRD";"EEF37F9";"75";"4";"0";"2018-07-07 00:00:00"
"132";"CRD";"74B6D35";"298.8";"4";"0";"2018-07-07 00:00:00"
"133";"DIN";"8565E69";"178.80";"4";"0";"2018-07-07 00:00:00"
"134";"CRE";"8565E69";"0";"4";"0";"2018-07-07 00:00:00"
"135";"CRD";"83D5032";"647.4";"4";"0";"2018-07-07 00:00:00"
"136";"CRD";"3288A76";"284.7";"4";"0";"2018-07-07 00:00:00"
"137";"CRD";"D0A0212";"189.8";"4";"0";"2018-07-07 00:00:00"
"138";"CRD";"3D7BD66";"75";"4";"0";"2018-07-07 00:00:00"
"139";"CRD";"0E178EB";"331";"4";"0";"2018-07-07 00:00:00"
"140";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-07-10 00:00:00"
"141";"CRD";"CDF4F55";"277.8";"4";"0";"2018-07-10 00:00:00"
"142";"CRD";"9EAFC22";"99";"4";"0";"2018-07-10 00:00:00"
"143";"CRD";"F9255C3";"459.7";"4";"0";"2018-07-10 00:00:00"
"144";"CRD";"2B1F5C0";"369.4";"4";"0";"2018-07-10 00:00:00"
"145";"DIN";"322F68F";"69.90";"4";"0";"2018-07-10 00:00:00"
"146";"CRE";"322F68F";"0";"4";"0";"2018-07-10 00:00:00"
"147";"CRD";"3831828";"394.3";"4";"0";"2018-07-10 00:00:00"
"148";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-07-11 00:00:00"
"149";"CRD";"2F9C4D6";"353.6";"4";"0";"2018-07-11 00:00:00"
"150";"DIN";"67804A4";"159.8";"4";"0";"2018-07-11 00:00:00"
"151";"DEB";"9F51688";"24.9";"4";"0";"2018-07-11 00:00:00"
"152";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-07-12 00:00:00"
"153";"DIN";"70AAE5B";"49.9";"4";"0";"2018-07-12 00:00:00"
"154";"CRD";"78E448B";"59.9";"4";"0";"2018-07-12 00:00:00"
"155";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-07-13 00:00:00"
"156";"DIN";"543D5FB";"129.8";"4";"0";"2018-07-13 00:00:00"
"157";"ABERTURA CAIXA";;"29.00";"4";"0";"2018-07-14 00:00:00"
"158";"EXTORNO";"DCDBC70";"89.9";"3";"0";"2018-07-14 00:00:00"
"159";"EXTORNO";"8EC0A98";"429.5";"3";"0";"2018-07-14 00:00:00"
"160";"CRD";"82C4940";"239.7";"3";"0";"2018-07-14 00:00:00"
"161";"CRD";"622F4BD";"159.7";"3";"0";"2018-07-14 00:00:00"
"162";"DIN";"47E478E";"10";"1";"1";"2018-07-14 00:00:00"
"163";"DEB";;"200.00";"4";"321";"2018-07-14 00:00:00"
"164";"DEB";;"150.00";"4";"205";"2018-07-14 00:00:00"
"165";"DIN";"6479284";"59.90";"4";"226";"2018-07-14 00:00:00"
"166";"DEB";;"144.00";"4";"366";"2018-07-14 00:00:00"
"167";"DIN";;"120.00";"3";"393";"2018-07-14 00:00:00"
"168";"EXTORNO";"78E448B";"59.9";"3";"0";"2018-07-14 00:00:00"
"169";"EXTORNO";"6479284";"504.5";"3";"0";"2018-07-14 00:00:00"
"170";"EXTORNO";"47E478E";"39.9";"3";"0";"2018-07-14 00:00:00"
"171";"SANGRIA";;"129.00";"3";"0";"2018-07-14 00:00:00"
"172";"SANGRIA";;"89.90";"3";"0";"2018-07-14 00:00:00"
"173";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-07-16 00:00:00"
"174";"DIN";;"100";"4";"336";"2018-07-16 00:00:00"
